ALMACEN,SHIPTO,DIA,MES,A¥O,ARTICULO,DISPONIBLE
102-MCABOR,M3033035,26,12,2025,00100,4
102-MCABOR,M3033035,26,12,2025,00538,8
102-MCABOR,M3033035,26,12,2025,00546,4
102-MCABOR,M3033035,26,12,2025,00893,4
102-MCABOR,M3033035,26,12,2025,01174,4
102-MCABOR,M3033035,26,12,2025,01180,4
102-MCABOR,M3033035,26,12,2025,01201,4
102-MCABOR,M3033035,26,12,2025,01318,4
102-MCABOR,M3033035,26,12,2025,01970,4
102-MCABOR,M3033035,26,12,2025,01999,4
102-MCABOR,M3033035,26,12,2025,02076,8
102-MCABOR,M3033035,26,12,2025,02151,4
102-MCABOR,M3033035,26,12,2025,02161,10
102-MCABOR,M3033035,26,12,2025,02390,4
102-MCABOR,M3033035,26,12,2025,02685,4
102-MCABOR,M3033035,26,12,2025,02932,8
102-MCABOR,M3033035,26,12,2025,02983,4
102-MCABOR,M3033035,26,12,2025,03069,4
102-MCABOR,M3033035,26,12,2025,03169,4
102-MCABOR,M3033035,26,12,2025,03285,4
102-MCABOR,M3033035,26,12,2025,03381,4
102-MCABOR,M3033035,26,12,2025,03591,4
102-MCABOR,M3033035,26,12,2025,03689,4
102-MCABOR,M3033035,26,12,2025,03796,4
102-MCABOR,M3033035,26,12,2025,03822,4
102-MCABOR,M3033035,26,12,2025,04085,4
102-MCABOR,M3033035,26,12,2025,04147,4
102-MCABOR,M3033035,26,12,2025,04238,12
102-MCABOR,M3033035,26,12,2025,04341,4
102-MCABOR,M3033035,26,12,2025,04536,4
102-MCABOR,M3033035,26,12,2025,04683,4
102-MCABOR,M3033035,26,12,2025,05260,4
102-MCABOR,M3033035,26,12,2025,05261,4
102-MCABOR,M3033035,26,12,2025,05396,4
102-MCABOR,M3033035,26,12,2025,05538,4
102-MCABOR,M3033035,26,12,2025,05800,4
102-MCABOR,M3033035,26,12,2025,05821,4
102-MCABOR,M3033035,26,12,2025,06238,6
102-MCABOR,M3033035,26,12,2025,06915,4
102-MCABOR,M3033035,26,12,2025,07144,4
102-MCABOR,M3033035,26,12,2025,07251,4
102-MCABOR,M3033035,26,12,2025,07282,4
102-MCABOR,M3033035,26,12,2025,07283,4
102-MCABOR,M3033035,26,12,2025,07652,4
102-MCABOR,M3033035,26,12,2025,07685,4
102-MCABOR,M3033035,26,12,2025,08221,4
102-MCABOR,M3033035,26,12,2025,08247,4
102-MCABOR,M3033035,26,12,2025,08533,16
102-MCABOR,M3033035,26,12,2025,08562,4
102-MCABOR,M3033035,26,12,2025,08806,4
102-MCABOR,M3033035,26,12,2025,09100,21
102-MCABOR,M3033035,26,12,2025,09376,4
102-MCABOR,M3033035,26,12,2025,09381,4
102-MCABOR,M3033035,26,12,2025,09518,4
102-MCABOR,M3033035,26,12,2025,09666,4
102-MCABOR,M3033035,26,12,2025,09702,4
102-MCABOR,M3033035,26,12,2025,10031,4
102-MCABOR,M3033035,26,12,2025,10084,16
102-MCABOR,M3033035,26,12,2025,10431,4
102-MCABOR,M3033035,26,12,2025,11139,4
102-MCABOR,M3033035,26,12,2025,11201,4
102-MCABOR,M3033035,26,12,2025,11527,4
102-MCABOR,M3033035,26,12,2025,11610,6
102-MCABOR,M3033035,26,12,2025,11744,4
102-MCABOR,M3033035,26,12,2025,11791,8
102-MCABOR,M3033035,26,12,2025,11824,4
102-MCABOR,M3033035,26,12,2025,12201,4
102-MCABOR,M3033035,26,12,2025,12822,4
102-MCABOR,M3033035,26,12,2025,13468,4
102-MCABOR,M3033035,26,12,2025,13647,3
102-MCABOR,M3033035,26,12,2025,13823,4
102-MCABOR,M3033035,26,12,2025,13990,4
102-MCABOR,M3033035,26,12,2025,14198,4
102-MCABOR,M3033035,26,12,2025,14355,12
102-MCABOR,M3033035,26,12,2025,14708,2
102-MCABOR,M3033035,26,12,2025,14827,4
102-MCABOR,M3033035,26,12,2025,15138,6
102-MCABOR,M3033035,26,12,2025,15149,4
102-MCABOR,M3033035,26,12,2025,15314,4
102-MCABOR,M3033035,26,12,2025,15477,4
102-MCABOR,M3033035,26,12,2025,15814,4
102-MCABOR,M3033035,26,12,2025,15998,4
102-MCABOR,M3033035,26,12,2025,16079,4
102-MCABOR,M3033035,26,12,2025,16461,4
102-MCABOR,M3033035,26,12,2025,16681,4
102-MCABOR,M3033035,26,12,2025,17305,8
102-MCABOR,M3033035,26,12,2025,17400,4
102-MCABOR,M3033035,26,12,2025,17559,4
102-MCABOR,M3033035,26,12,2025,17650,6
102-MCABOR,M3033035,26,12,2025,17795,4
102-MCABOR,M3033035,26,12,2025,17963,4
102-MCABOR,M3033035,26,12,2025,18307,4
102-MCABOR,M3033035,26,12,2025,18361,4
102-MCABOR,M3033035,26,12,2025,18570,11
102-MCABOR,M3033035,26,12,2025,18620,4
102-MCABOR,M3033035,26,12,2025,18754,4
102-MCABOR,M3033035,26,12,2025,18861,4
102-MCABOR,M3033035,26,12,2025,19117,8
102-MCABOR,M3033035,26,12,2025,19118,4
102-MCABOR,M3033035,26,12,2025,19337,4
102-MCABOR,M3033035,26,12,2025,19422,20
102-MCABOR,M3033035,26,12,2025,19493,5
102-MCABOR,M3033035,26,12,2025,19795,13
102-MCABOR,M3033035,26,12,2025,20034,4
102-MCABOR,M3033035,26,12,2025,20092,4
102-MCABOR,M3033035,26,12,2025,20375,4
102-MCABOR,M3033035,26,12,2025,20594,4
102-MCABOR,M3033035,26,12,2025,20709,4
102-MCABOR,M3033035,26,12,2025,20887,4
102-MCABOR,M3033035,26,12,2025,21618,4
102-MCABOR,M3033035,26,12,2025,21717,6
102-MCABOR,M3033035,26,12,2025,21818,8
102-MCABOR,M3033035,26,12,2025,21891,4
102-MCABOR,M3033035,26,12,2025,22195,4
102-MCABOR,M3033035,26,12,2025,22270,4
102-MCABOR,M3033035,26,12,2025,23044,4
